analysis_id,1q6f45q15v5321k
pvalue,0.7712692
mouse_strain,C57BL
gene_symbol,Bmi1
gene_accession_id,MGI:88174
parameter_id,JAXLA_OFD_007_001
mouse_life_stage,E12.5
parameter_name,Whole arena resting time
