parameter_name,Lower teeth appearance
analysis_id,45g3qjyq712a8h4
gene_symbol,Psd4
mouse_life_stage,Early adult
pvalue,0.4827226
mouse_strain,C57BL
parameter_id,IMPC_CSD_070_001
gene_accession_id,MGI:2674093
