parameter_id,JAXLA_HBD_001_001
gene_accession_id,MGI:99501
gene_symbol,Fgb
pvalue,0.2183298
mouse_strain,C57BL
mouse_life_stage,E15.5
analysis_id,bz4556xswt8c0xl
parameter_name,Total holepokes
