parameter_name,Retina (combined)
analysis_id,1j20898n56d1jtm
mouse_strain,C57BL
parameter_id,JAXLA_EYE_092_001
pvalue,0.3291487
gene_symbol,Arpc2
gene_accession_id,MGI:1923959
mouse_life_stage,Early adult
