parameter_id,IMPC_ABR_008_001
analysis_id,0b6i763o0a7pvc8
mouse_strain,C57BL
pvalue,0.07392278
gene_accession_id,MGI:1916043
mouse_life_stage,Early adult
gene_symbol,Rab3gap2
parameter_name,18kHz-evoked ABR Threshold
