gene_symbol,Atg4c
parameter_name,Resting Treg cells - % of Treg
mouse_strain,C57BL
pvalue,0.7446934
analysis_id,xx9pj57817u43of
gene_accession_id,MGI:2651854
parameter_id,MGP_IMM_011_001
mouse_life_stage,Early adult
