parameter_name,Contact righting
analysis_id,mwm8kjc412la7x4
mouse_life_stage,Early adult
gene_symbol,Rab22a
gene_accession_id,MGI:105072
mouse_strain,C57BL
parameter_id,JAXLA_CSD_077_001
pvalue,0.1005574
