analysis_id,y8644ef92kin705
mouse_strain,C57BL
gene_accession_id,MGI:2446274
parameter_name,Total cholesterol
gene_symbol,Frmpd1
parameter_id,IMPC_CBC_015_001
mouse_life_stage,Early adult
pvalue,0.4873825
