analysis_id,57ebd9052d5fh3l
mouse_life_stage,Early adult
gene_symbol,F2
pvalue,0.4945116
parameter_name,Resting Treg cells - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:88380
parameter_id,MGP_IMM_078_001
