parameter_id,TCPLA_GRS_011_001
gene_accession_id,MGI:1914515
pvalue,0.2356073
gene_symbol,Slc39a10
mouse_strain,C57BL
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
analysis_id,3i568ajd0dy7s0b
mouse_life_stage,Early adult
