gene_symbol,Rab3gap2
gene_accession_id,MGI:1916043
parameter_name,Red blood cell distribution width
pvalue,0.1156046
parameter_id,IMPC_HEM_027_001
analysis_id,m3t036yu7q7g9j7
mouse_strain,C57BL
mouse_life_stage,Early adult
