gene_symbol,Nr0b2
pvalue,0.5205255
mouse_life_stage,Early adult
gene_accession_id,MGI:1346344
mouse_strain,B6J
parameter_name,Facial Morphology
parameter_id,IMPC_GEP_017_001
analysis_id,u1r69x94380w968
