gene_symbol,Jun
mouse_life_stage,E9.5
parameter_id,MGP_MLN_063_001
pvalue,0.4391529
mouse_strain,C57BL
gene_accession_id,MGI:96646
analysis_id,ru89hu354pw6u58
parameter_name,Total ab T cells - % of CD45+
