parameter_name,Fat mass
parameter_id,IMPC_DXA_002_001
gene_symbol,F2
pvalue,0.5335548
gene_accession_id,MGI:88380
mouse_strain,C57BL
analysis_id,3143e3e0rhr21n0
mouse_life_stage,Early adult
