analysis_id,94c55ze509rbm15
gene_symbol,Slc17a9
parameter_id,ESLIM_007_001_003
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Whole arena resting time
gene_accession_id,MGI:1919107
pvalue,0.3176139
