parameter_name,Monocyte percentage
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,g62wn8ov8fgc32i
gene_symbol,Morn5
pvalue,0.4251349
gene_accession_id,MGI:1922745
parameter_id,MGP_PBI_016_001
