analysis_id,5hs7t2032pav5o2
parameter_name,Neutrophil differential count
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Dmap1
pvalue,0.3048212
parameter_id,IMPC_HEM_029_001
gene_accession_id,MGI:1913483
