analysis_id,miq3u15le93n6gf
mouse_strain,C57BL
gene_accession_id,MGI:1918025
parameter_name,Prepulse inhibition - PP4
parameter_id,ESLIM_011_001_704
gene_symbol,Zmynd8
pvalue,0.7843418
mouse_life_stage,Early adult
