analysis_id,hp2f4jg5z03l7z1
parameter_id,HMGULA_CBC_018_001
parameter_name,Glucose
mouse_strain,C57BL
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
mouse_life_stage,E12.5
pvalue,0.3574847
