parameter_id,GMC_906_001_005
analysis_id,k42k6e21j409639
gene_symbol,Bmi1
parameter_name,Potassium
mouse_strain,C57BL
mouse_life_stage,E12.5
pvalue,0.3153189
gene_accession_id,MGI:88174
