analysis_id,98r2m1k814fu34c
parameter_id,JAX_OFD_015_001
gene_accession_id,MGI:1917810
gene_symbol,Wars2
parameter_name,Center resting time
mouse_life_stage,E12.5
mouse_strain,C57BL
pvalue,0.6056044
