analysis_id,x5axr26n8hg9o8b
pvalue,0.6988077
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_705
mouse_strain,C57BL
gene_symbol,Wars2
gene_accession_id,MGI:1917810
parameter_name,Global prepulse inhibition
