analysis_id,tc5t9y6770rwosi
gene_accession_id,MGI:2670995
gene_symbol,Trp53i11
mouse_life_stage,Early adult
parameter_name,Red blood cell count
mouse_strain,C57BL
parameter_id,ESLIM_016_001_002
pvalue,0.7726271
