parameter_name,Red blood cell count
analysis_id,j823isq1734p01r
mouse_life_stage,Early adult
gene_symbol,Lurap1
parameter_id,IMPC_HEM_002_001
gene_accession_id,MGI:1915325
mouse_strain,C57BL
pvalue,0.6129599
