analysis_id,0vz08e9v4q8k0c3
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_ACS_034_001
gene_accession_id,MGI:1913105
parameter_name,% Pre-pulse inhibition - PPI2
pvalue,0.4982206
gene_symbol,Slc28a2
