analysis_id,107071azzh4lfq5
parameter_id,ESLIM_011_001_009
gene_accession_id,MGI:2684980
parameter_name,PP3 + pulse startle magnitude
pvalue,0.841587
mouse_life_stage,Early adult
gene_symbol,Mms22l
mouse_strain,C57BL
