analysis_id,zsg2f2k8z5d48at
mouse_life_stage,Early adult
pvalue,0.5148784
gene_symbol,Atg4c
mouse_strain,C57BL
parameter_id,IMPC_EYE_026_001
parameter_name,Retinal Blood Vessels Pattern
gene_accession_id,MGI:2651854
