parameter_name,CD8 CD44-CD62L+ T cells
gene_symbol,Ift74
mouse_strain,C57BL
parameter_id,IMPC_IMM_034_001
analysis_id,hbtgn06b1kl82cm
mouse_life_stage,Early adult
pvalue,0.1912308
gene_accession_id,MGI:1914944
