analysis_id,99963q7k553l262
parameter_id,MGP_PBI_010_001
gene_symbol,Ahcy
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
pvalue,0.09733475
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_accession_id,MGI:87968
