gene_symbol,Inpp1
parameter_id,IMPC_HWT_008_001
analysis_id,0e6u71dfx30442k
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
parameter_name,Heart weight
mouse_strain,C57BL
pvalue,0.9517778
