parameter_name,Iris/Pupil
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_symbol,Eprs1
parameter_id,IMPC_EYE_010_001
gene_accession_id,MGI:97838
analysis_id,761xamt13hrkz8k
pvalue,0.5965622
