parameter_id,CCP_LFO_001_001
mouse_life_stage,Early adult
analysis_id,65243jba23s8l67
gene_accession_id,MGI:109356
gene_symbol,Snap23
parameter_name,Weight
pvalue,0.9759794
mouse_strain,C57BL
