parameter_name,Bone Mineral Content
gene_accession_id,MGI:1927232
analysis_id,h618brs0z6078jc
gene_symbol,Rab13
mouse_life_stage,Early adult
parameter_id,ESLIM_005_001_005
pvalue,0.2400972
mouse_strain,C57BL
