parameter_name,Cornea vascularisation
mouse_strain,C57BL
analysis_id,v605589tu1og303
gene_accession_id,MGI:2441730
pvalue,0.6909691
gene_symbol,Tbl1xr1
parameter_id,ESLIM_014_001_008
mouse_life_stage,Late adult
