analysis_id,r12310nfkgs7x31
gene_symbol,Sgip1
parameter_id,JAX_OFD_022_001
parameter_name,Percentage center time
gene_accession_id,MGI:1920344
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.451684
