analysis_id,j3b4h46025b7w74
gene_accession_id,MGI:1913576
pvalue,0.5133282
parameter_name,Bone Area
gene_symbol,Dnajc5b
mouse_strain,C57BL
Mouse_life_stage,Early adult
Parameter_id,IMPC_DXA_010_001
