analysis_id,8z9he81gi415u56
pvalue,0.8581761
mouse_life_stage,Early adult
gene_accession_id,MGI:2685266
mouse_strain,C57BL
parameter_name,Radius
gene_symbol,Pglyrp3
parameter_id,IMPC_XRY_022_001
