gene_symbol,Zfp683
analysis_id,h25g664rlo613y2
pvalue,0.7568616
parameter_name,Retina (combined)
mouse_life_stage,Early adult
gene_accession_id,MGI:3650254
parameter_id,IMPC_EYE_092_001
mouse_strain,C57BL
