analysis_id,e6j03zfa615x32n
mouse_strain,C57BL
gene_symbol,Zmynd19
pvalue,0.08362077
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
parameter_id,MGP_IMM_007_001
gene_accession_id,MGI:1914437
mouse_life_stage,Early adult
