gene_symbol,Npbwr1
analysis_id,c69bgg65q426616
gene_accession_id,MGI:891989
mouse_strain,C57BL
pvalue,0.7348257
parameter_name,Shape of ribcage
parameter_id,IMPC_XRY_059_001
mouse_life_stage,Early adult
