parameter_name,Shape of ribcage
gene_symbol,Dnajc6
parameter_id,IMPC_XRY_059_001
mouse_life_stage,Early adult
analysis_id,43wve6s847uo953
mouse_strain,C57BL
pvalue,0.9459219
gene_accession_id,MGI:1919935
