gene_symbol,Exd1
analysis_id,y8739s5d48d9wya
pvalue,0.5227224
mouse_life_stage,Early adult
parameter_name,Cue Baseline % Freezing Time
gene_accession_id,MGI:3045306
mouse_strain,C57BL
parameter_id,HRWLLA_FEA_015_001
