analysis_id,2cf09w0o3q45h4m
pvalue,1.264304
parameter_name,Breath rate during sleep mean
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAX_SLW_013_001
