analysis_id,8xmv5t8sb99v3u5
gene_accession_id,MGI:97838
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
mouse_life_stage,E9.5
mouse_strain,C57BL
parameter_id,IMPC_FEA_106_001
gene_symbol,Eprs1
pvalue,0.1160434
