gene_symbol,Usp37
pvalue,0.4978334
parameter_name,Resting CD8+ T cells - % of CD8+
mouse_strain,C57BL
analysis_id,a87p7l47cr4p2m4
mouse_life_stage,Early adult
gene_accession_id,MGI:2442483
parameter_id,MGP_MLN_014_001
