parameter_name,Vocalization
gene_symbol,Ubxn11
analysis_id,0162yt3e267x856
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1914836
pvalue,0.2907394
parameter_id,IMPC_CSD_078_001
