analysis_id,3uu4dc44k7ir1a6
mouse_strain,C57BL
gene_symbol,Golm2
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_003_001
parameter_name,Chloride
gene_accession_id,MGI:2443129
pvalue,0.3285508
