analysis_id,71i18nf954s644a
pvalue,0.5819077
gene_accession_id,MGI:1919137
parameter_id,IMPC_CSD_070_001
gene_symbol,Ppm1j
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Lower teeth appearance
