gene_symbol,Dhdds
parameter_name,Click-evoked ABR threshold
parameter_id,IMPC_ABR_002_001
analysis_id,th07e5qmyd1h068
pvalue,0.8244795
gene_accession_id,MGI:1914672
mouse_life_stage,Early adult
mouse_strain,C57BL
