parameter_name,Vitreous
parameter_id,IMPC_EYE_083_001
gene_symbol,Bmi1
pvalue,0.1948938
mouse_strain,C57BL
analysis_id,zisgv83ai6qv4x4
gene_accession_id,MGI:88174
mouse_life_stage,E15.5
