parameter_id,JAX_SLW_009_001
mouse_life_stage,E9.5
analysis_id,f05p27411kx2oqd
parameter_name,Dark sleep bout lengths mean
mouse_strain,C57BL
gene_symbol,Ints7
gene_accession_id,MGI:1924315
pvalue,0.9198907
