parameter_name,Platelet count
pvalue,0.3065308
gene_symbol,Zmynd19
mouse_strain,C57BL
parameter_id,IMPC_HEM_008_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914437
analysis_id,8qx717gdthlaon3
