parameter_id,IMPC_GPO_002_001
mouse_strain,C57BL
gene_symbol,Mms22l
gene_accession_id,MGI:2684980
parameter_name,Placenta Morphology
mouse_life_stage,Early adult
analysis_id,c91s36d0f83vg0b
pvalue,0.8494527
