analysis_id,73w3w25em01cg99
mouse_life_stage,Early adult
gene_accession_id,MGI:1338022
parameter_id,IMPC_XRY_064_001
gene_symbol,Opn3
pvalue,0.6651638
mouse_strain,C57BL
parameter_name,Thoracic processes
