analysis_id,94i02f14g575cd9
gene_accession_id,MGI:2446186
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_symbol,Lpgat1
pvalue,0.6832354
parameter_name,Resting Treg cells - % of CD45+
parameter_id,MGP_IMM_078_001
