gene_symbol,Gpbp1l1
mouse_strain,C57BL
pvalue,0.3470924
gene_accession_id,MGI:1924360
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
analysis_id,528nk9xe18ckng8
mouse_life_stage,Early adult
parameter_id,MGP_IMM_027_001
