analysis_id,0q8pq8t5ye0tu50
gene_symbol,Trp53rkb
pvalue,0.796093
mouse_strain,C57BL
parameter_name,center - resting time
gene_accession_id,MGI:1914050
mouse_life_stage,Early adult
parameter_id,M-G-P_007_001_011
