analysis_id,j253fc22gl6fa1i
mouse_life_stage,Early adult
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
pvalue,0.1469323
mouse_strain,129SV
gene_symbol,Nipal3
parameter_id,MGP_IMM_094_001
gene_accession_id,MGI:1921802
