analysis_id,60y6x41915kr777
gene_symbol,Clvs1
pvalue,0.1835459
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_009_001
mouse_strain,C57BL
parameter_name,Calcium
gene_accession_id,MGI:1921688
