analysis_id,7ux5i6675594zne
parameter_name,Narrow eye opening
gene_accession_id,MGI:1913506
mouse_life_stage,Early adult
gene_symbol,Ssr2
mouse_strain,C57BL
pvalue,0.1397525
parameter_id,IMPC_EYE_006_001
