parameter_id,HRWLLA_CBC_014_001
pvalue,0.3059792
mouse_strain,C57BL
analysis_id,nl1o8x5dg2444jc
gene_symbol,Cdin1
parameter_name,Alkaline phosphatase
mouse_life_stage,E9.5
gene_accession_id,MGI:3026886
