gene_symbol,AHCTF1
parameter_name,LVIDd
gene_accession_id,MGI:1915033
mouse_strain,C57BL
pvalue,0.5265659
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_008_001
analysis_id,29ss332g8m7mf4e
