analysis_id,eqqqbs78bh30a3o
pvalue,0.6221387
mouse_life_stage,E12.5
parameter_id,IMPC_CSD_011_001
gene_accession_id,MGI:1917810
gene_symbol,Wars2
parameter_name,Coat - hair distribution - back
mouse_strain,C57BL
