parameter_name,Spleen weight
parameter_id,UCD_OWT_003_001
gene_accession_id,MGI:1924360
gene_symbol,Gpbp1l1
mouse_strain,C57BL
analysis_id,21kw7j2f581h09o
mouse_life_stage,Early adult
pvalue,0.6800869
